1,0.477142,0.477142,97.9668,97.9668,0.00001000,0.8291,0.8291
2,0.470975,0.470975,97.7049,97.7049,0.00001000,0.8325,0.8325
3,0.480970,0.480970,98.0400,98.0400,0.00001000,0.8291,0.8291
4,0.473137,0.473137,96.9572,96.9572,0.00001000,0.8323,0.8323
5,0.470553,0.470553,97.9072,97.9072,0.00001000,0.8317,0.8317
6,0.487158,0.487158,98.8888,98.8888,0.00001000,0.8256,0.8256
7,0.468412,0.468412,99.4962,99.4962,0.00001000,0.8335,0.8335
8,0.488716,0.488716,98.7610,98.7610,0.00001000,0.8256,0.8256
9,0.475308,0.475308,99.6407,99.6407,0.00001000,0.8307,0.8307
10,0.464569,0.464569,97.4082,97.4082,0.00001000,0.8341,0.8341
11,0.488106,0.488106,97.0945,97.0945,0.00001000,0.8282,0.8282
12,0.485812,0.485812,99.3607,99.3607,0.00001000,0.8262,0.8262
13,0.477011,0.477011,100.0020,100.0020,0.00001000,0.8289,0.8289
14,0.463209,0.463209,98.6389,98.6389,0.00001000,0.8320,0.8320
15,0.469563,0.469563,97.9933,97.9933,0.00001000,0.8305,0.8305
16,0.474686,0.474686,97.8964,97.8964,0.00001000,0.8325,0.8325
17,0.474174,0.474174,98.6665,98.6665,0.00001000,0.8305,0.8305
18,0.469700,0.469700,98.1316,98.1316,0.00001000,0.8330,0.8330
19,0.472913,0.472913,97.7075,97.7075,0.00001000,0.8306,0.8306
20,0.473436,0.473436,97.6957,97.6957,0.00001000,0.8295,0.8295
21,0.480691,0.480691,98.1971,98.1971,0.00001000,0.8287,0.8287
22,0.474328,0.474328,98.7988,98.7988,0.00001000,0.8326,0.8326
23,0.480994,0.480994,98.0654,98.0654,0.00001000,0.8261,0.8261
24,0.493561,0.493561,98.3343,98.3343,0.00001000,0.8276,0.8276
25,0.470771,0.470771,98.4173,98.4173,0.00001000,0.8344,0.8344
26,0.468641,0.468641,98.0841,98.0841,0.00001000,0.8344,0.8344
27,0.475038,0.475038,97.9032,97.9032,0.00001000,0.8308,0.8308
28,0.479568,0.479568,97.6974,97.6974,0.00001000,0.8277,0.8277
29,0.467409,0.467409,98.8971,98.8971,0.00001000,0.8315,0.8315
30,0.487966,0.487966,98.9083,98.9083,0.00001000,0.8284,0.8284
31,0.475513,0.475513,98.5963,98.5963,0.00001000,0.8306,0.8306
32,0.475758,0.475758,98.2963,98.2963,0.00001000,0.8296,0.8296
33,0.471564,0.471564,98.2616,98.2616,0.00001000,0.8318,0.8318
34,0.472846,0.472846,97.9964,97.9964,0.00001000,0.8309,0.8309
35,0.464989,0.464989,98.2353,98.2353,0.00001000,0.8358,0.8358
36,0.471513,0.471513,97.3058,97.3058,0.00001000,0.8310,0.8310
37,0.483045,0.483045,98.1980,98.1980,0.00001000,0.8295,0.8295
38,0.481448,0.481448,97.6899,97.6899,0.00001000,0.8292,0.8292
39,0.470002,0.470002,99.0082,99.0082,0.00001000,0.8311,0.8311
40,0.482077,0.482077,98.6952,98.6952,0.00001000,0.8296,0.8296
41,0.472257,0.472257,97.8031,97.8031,0.00001000,0.8318,0.8318
42,0.479170,0.479170,97.7987,97.7987,0.00001000,0.8283,0.8283
43,0.475486,0.475486,98.6958,98.6958,0.00001000,0.8296,0.8296
44,0.492088,0.492088,100.5098,100.5098,0.00001000,0.8265,0.8265
45,0.474477,0.474477,100.7983,100.7983,0.00001000,0.8318,0.8318
46,0.481641,0.481641,100.9965,100.9965,0.00001000,0.8289,0.8289
47,0.469087,0.469087,100.0596,100.0596,0.00001000,0.8314,0.8314
48,0.482585,0.482585,98.5409,98.5409,0.00001000,0.8296,0.8296
49,0.482050,0.482050,97.3965,97.3965,0.00001000,0.8260,0.8260
50,0.469300,0.469300,104.5698,104.5698,0.00001000,0.8314,0.8314
51,0.471557,0.471557,103.7362,103.7362,0.00001000,0.8312,0.8312
52,0.470679,0.470679,102.7986,102.7986,0.00001000,0.8307,0.8307
53,0.475923,0.475923,102.2978,102.2978,0.00001000,0.8307,0.8307
54,0.483346,0.483346,102.9015,102.9015,0.00001000,0.8289,0.8289
55,0.488814,0.488814,102.9968,102.9968,0.00001000,0.8297,0.8297
56,0.475223,0.475223,103.5633,103.5633,0.00001000,0.8328,0.8328
57,0.480627,0.480627,102.4332,102.4332,0.00001000,0.8260,0.8260
58,0.474995,0.474995,102.1462,102.1462,0.00001000,0.8305,0.8305
59,0.483081,0.483081,102.4548,102.4548,0.00001000,0.8283,0.8283
60,0.483225,0.483225,101.8988,101.8988,0.00001000,0.8290,0.8290
61,0.466498,0.466498,102.4047,102.4047,0.00001000,0.8337,0.8337
62,0.485560,0.485560,102.6953,102.6953,0.00001000,0.8247,0.8247
63,0.478369,0.478369,103.5984,103.5984,0.00001000,0.8297,0.8297
64,0.471900,0.471900,102.5044,102.5044,0.00001000,0.8298,0.8298
65,0.477621,0.477621,102.7911,102.7911,0.00001000,0.8294,0.8294
66,0.472957,0.472957,102.8091,102.8091,0.00001000,0.8287,0.8287
67,0.481724,0.481724,102.6949,102.6949,0.00001000,0.8272,0.8272
68,0.467172,0.467172,103.4604,103.4604,0.00001000,0.8326,0.8326
69,0.493258,0.493258,103.0302,103.0302,0.00001000,0.8258,0.8258
70,0.470279,0.470279,103.6111,103.6111,0.00001000,0.8339,0.8339
71,0.486032,0.486032,103.1988,103.1988,0.00001000,0.8236,0.8236
72,0.481811,0.481811,103.9958,103.9958,0.00001000,0.8286,0.8286
73,0.490233,0.490233,103.4024,103.4024,0.00001000,0.8233,0.8233
74,0.467798,0.467798,103.2974,103.2974,0.00001000,0.8343,0.8343
75,0.465742,0.465742,102.9654,102.9654,0.00001000,0.8329,0.8329
76,0.486454,0.486454,104.2975,104.2975,0.00001000,0.8251,0.8251
77,0.476490,0.476490,103.1359,103.1359,0.00001000,0.8305,0.8305
78,0.490781,0.490781,103.4618,103.4618,0.00001000,0.8260,0.8260
79,0.487570,0.487570,103.2367,103.2367,0.00001000,0.8291,0.8291
80,0.469762,0.469762,103.2021,103.2021,0.00001000,0.8321,0.8321
81,0.487218,0.487218,102.7949,102.7949,0.00001000,0.8300,0.8300
82,0.466357,0.466357,102.8943,102.8943,0.00001000,0.8325,0.8325
83,0.470004,0.470004,104.0086,104.0086,0.00001000,0.8313,0.8313
84,0.477975,0.477975,102.7975,102.7975,0.00001000,0.8302,0.8302
85,0.485938,0.485938,102.9626,102.9626,0.00001000,0.8265,0.8265
86,0.472086,0.472086,103.9339,103.9339,0.00001000,0.8327,0.8327
87,0.476995,0.476995,103.5042,103.5042,0.00001000,0.8300,0.8300
88,0.466763,0.466763,104.1995,104.1995,0.00001000,0.8312,0.8312
89,0.467946,0.467946,104.1962,104.1962,0.00001000,0.8315,0.8315
90,0.475583,0.475583,103.8009,103.8009,0.00001000,0.8315,0.8315
91,0.467723,0.467723,103.7064,103.7064,0.00001000,0.8328,0.8328
92,0.480609,0.480609,103.1504,103.1504,0.00001000,0.8288,0.8288
93,0.480800,0.480800,102.9417,102.9417,0.00001000,0.8309,0.8309
94,0.474368,0.474368,102.7892,102.7892,0.00001000,0.8308,0.8308
95,0.465389,0.465389,102.9074,102.9074,0.00001000,0.8337,0.8337
